array length;array id;Sort type;start time;comparisons;swaps;end time;duration (milliseconds)
62500;46;QuickSort;Sat Sep 23 21:58:12 BRT 2023;1146084;41685;Sat Sep 23 21:58:12 BRT 2023;3.0
62500;47;MergeSort;Sat Sep 23 21:58:12 BRT 2023;917241;455008;Sat Sep 23 21:58:12 BRT 2023;6.0
62500;47;QuickSort;Sat Sep 23 21:58:12 BRT 2023;1189364;41738;Sat Sep 23 21:58:12 BRT 2023;3.0
62500;48;MergeSort;Sat Sep 23 21:58:12 BRT 2023;917141;454822;Sat Sep 23 21:58:12 BRT 2023;6.0
62500;48;QuickSort;Sat Sep 23 21:58:12 BRT 2023;1168232;41689;Sat Sep 23 21:58:12 BRT 2023;3.0
62500;49;MergeSort;Sat Sep 23 21:58:12 BRT 2023;917218;454700;Sat Sep 23 21:58:12 BRT 2023;5.0
62500;49;QuickSort;Sat Sep 23 21:58:12 BRT 2023;1219918;41693;Sat Sep 23 21:58:12 BRT 2023;4.0
125000;50;MergeSort;Sat Sep 23 21:58:12 BRT 2023;1959162;972466;Sat Sep 23 21:58:12 BRT 2023;13.0
125000;50;QuickSort;Sat Sep 23 21:58:12 BRT 2023;2486172;83307;Sat Sep 23 21:58:12 BRT 2023;8.0
125000;51;MergeSort;Sat Sep 23 21:58:12 BRT 2023;1959364;971827;Sat Sep 23 21:58:12 BRT 2023;13.0
125000;51;QuickSort;Sat Sep 23 21:58:12 BRT 2023;2713488;83423;Sat Sep 23 21:58:12 BRT 2023;9.0
125000;52;MergeSort;Sat Sep 23 21:58:12 BRT 2023;1959255;972861;Sat Sep 23 21:58:12 BRT 2023;14.0
125000;52;QuickSort;Sat Sep 23 21:58:12 BRT 2023;2586785;83333;Sat Sep 23 21:58:12 BRT 2023;8.0
125000;53;MergeSort;Sat Sep 23 21:58:12 BRT 2023;1959355;972499;Sat Sep 23 21:58:12 BRT 2023;12.0
125000;53;QuickSort;Sat Sep 23 21:58:12 BRT 2023;2591512;83408;Sat Sep 23 21:58:12 BRT 2023;7.0
125000;54;MergeSort;Sat Sep 23 21:58:12 BRT 2023;1958961;972439;Sat Sep 23 21:58:12 BRT 2023;11.0
125000;54;QuickSort;Sat Sep 23 21:58:12 BRT 2023;2478061;83380;Sat Sep 23 21:58:12 BRT 2023;9.0
125000;55;MergeSort;Sat Sep 23 21:58:12 BRT 2023;1959392;972254;Sat Sep 23 21:58:12 BRT 2023;11.0
125000;55;QuickSort;Sat Sep 23 21:58:12 BRT 2023;2517624;83387;Sat Sep 23 21:58:12 BRT 2023;8.0
125000;56;MergeSort;Sat Sep 23 21:58:12 BRT 2023;1958954;972096;Sat Sep 23 21:58:13 BRT 2023;13.0
